Code,Area,all score,Pupils known to be eligible for free school meals,Pupils whose first language is English,White,Mixed,Asian,Black,Chinese,weekly pay
E09000001,City of London,85.1,75,86,91,100,86,0,0,894
E09000002,Barking and Dagenham,72.4,66,74,69,70,70,73,67,471
E09000003,Barnet,74.3,63,79,76,74,76,71,80,536.4
E09000004,Bexley,76.7,65,78,76,78,76,74,88,553.4
E09000005,Brent,71.8,66,77,72,76,76,68,90,524
E09000006,Bromley,78.2,59,80,79,79,81,67,89,638.3
E09000007,Camden,72.8,63,74,73,77,72,69,78,662
E09000008,Croydon,74.6,66,77,74,76,74,71,100,561.7
E09000009,Ealing,70.9,62,77,73,72,74,67,75,532.2
E09000010,Enfield,69.7,60,77,68,76,81,66,76,490.1
E09000011,Greenwich,77.9,70,78,78,82,77,76,88,579.5
E09000012,Hackney,69.6,69,80,79,76,81,71,94,574.9
E09000013,Hammersmith and Fulham,73.2,63,76,77,68,74,64,78,728
E09000014,Haringey,74.6,65,79,77,77,76,69,76,547.6
E09000015,Harrow,75.0,66,80,73,77,78,64,75,581.9
E09000016,Havering,71.7,50,73,71,76,73,69,76,568.5
E09000017,Hillingdon,74.7,64,77,71,78,78,73,85,545.9
E09000018,Hounslow,73.8,66,76,70,76,76,69,81,547.6
E09000019,Islington,71.0,64,73,69,75,66,61,75,699.1
E09000020,Kensington and Chelsea,70.0,60,76,75,74,60,61,100,763.7
E09000021,Kingston upon Thames,75.9,56,78,78,74,70,74,83,628
E09000022,Lambeth,71.5,62,77,77,69,60,66,82,634.8
E09000023,Lewisham,76.4,66,80,82,77,74,70,76,552
E09000024,Merton,75.5,62,78,77,78,72,72,87,578.9
E09000025,Newham,75.9,71,78,73,79,77,72,85,517.5
E09000026,Redbridge,75.6,63,81,70,78,79,70,84,565.6
E09000027,Richmond upon Thames,80.6,58,82,82,80,78,64,89,721.1
E09000028,Southwark,74.1,67,76,79,78,71,70,77,628
E09000029,Sutton,73.3,57,74,72,70,76,66,81,549
E09000030,Tower Hamlets,69.9,66,70,69,69,69,73,72,688.9
E09000031,Waltham Forest,76.4,65,81,78,80,74,71,78,574.9
E09000032,Wandsworth,76.3,60,80,81,73,72,66,77,720.9
E09000033,Westminster,70.6,68,74,76,68,77,70,86,703.9
E12000001,North East,71.8,64,73,72,69,65,65,75,438.2
E12000002,North West,68.9,58,71,69,67,62,63,67,458
E12000003,Yorkshire and the Humber,70.0,54,72,70,68,65,62,73,445.2
E12000003,East Midlands,70.3,54,72,70,68,70,67,71,452.6
E12000005,West Midlands,70.1,55,72,70,69,67,66,76,455.2
E12000006,East,72.3,57,74,72,72,67,68,80,496.2
E12000007,London,74.1,55,77,75,76,75,70,82,590.9
E12000008,South East,74.6,55,76,75,76,72,69,77,516
E12000009,South West,72.0,53,73,72,71,68,63,71,444.9
E92000001,England,71.8,57,74,72,72,69,68,76,480
E09000001,City of London,81.3,81,78,0,0,75,0,0,909
E09000002,Barking and Dagenham,71.3,66,72,68,73,75,73,100,479.1
E09000003,Barnet,74.0,63,78,76,75,79,66,84,536.6
E09000004,Bexley,77.1,64,78,77,78,80,77,81,512.7
E09000005,Brent,69.8,62,74,70,74,76,68,100,479.9
E09000006,Bromley,77.2,62,78,77,79,84,70,89,632.7
E09000007,Camden,71.4,60,73,75,72,67,63,85,634.4
E09000008,Croydon,73.8,67,77,75,77,75,71,71,550.6
E09000009,Ealing,72.0,59,78,75,79,74,68,0,524.3
E09000010,Enfield,69.3,62,76,68,77,78,67,76,464.8
E09000011,Greenwich,77.7,67,79,76,79,78,81,86,566.0
E09000012,Hackney,70.1,70,80,79,82,77,74,0,555.4
E09000013,Hammersmith and Fulham,74.4,69,78,80,76,75,72,100,682.0
E09000014,Haringey,75.6,69,81,77,79,72,76,80,551.4
E09000015,Harrow,74.2,62,78,70,75,80,61,78,534.9
E09000016,Havering,71.5,53,73,72,71,75,70,0,544.8
E09000017,Hillingdon,73.6,61,75,70,80,79,70,100,531.7
E09000018,Hounslow,71.7,62,74,71,73,78,69,0,533.6
E09000019,Islington,71.1,61,74,72,73,70,70,0,687.7
E09000020,Kensington and Chelsea,70.1,59,73,76,70,61,67,0,670.6
E09000021,Kingston upon Thames,76.8,58,80,79,80,69,64,92,629.7
E09000022,Lambeth,72.2,62,76,77,69,74,70,84,617.1
E09000023,Lewisham,77.9,68,81,82,81,74,74,79,551.2
E09000024,Merton,73.5,64,76,75,75,72,67,88,594.1
E09000025,Newham,75.8,72,77,76,78,78,77,84,475.9
E09000026,Redbridge,75.0,69,78,71,75,80,68,79,555.8
E09000027,Richmond upon Thames,80.5,58,83,83,81,74,61,77,677.6
E09000028,Southwark,75.2,66,77,80,75,77,72,88,589.4
E09000029,Sutton,72.7,57,74,72,72,75,71,90,548.7
E09000030,Tower Hamlets,69.4,62,71,72,76,70,67,73,627.6
E09000031,Waltham Forest,75.4,65,80,77,78,75,73,74,529.7
E09000032,Wandsworth,76.4,64,80,82,77,71,70,74,695.7
E09000033,Westminster,71.9,64,77,78,77,71,69,0,757.1
E12000001,North East,71.5,57,72,72,73,65,67,78,420.3
E12000002,North West,68.9,54,71,70,70,65,67,72,435.0
E12000003,Yorkshire and the Humber,69.4,54,72,71,68,66,66,73,423.9
E12000004,East Midlands,69.8,54,72,70,72,72,70,76,427.5
E12000005,West Midlands,69.8,57,72,71,69,68,69,70,440.0
E12000006,East,72.1,55,74,73,74,71,69,79,479.1
E12000007,London,73.8,64,77,75,77,76,72,84,574.9
E12000008,South East,74.7,57,76,75,76,73,72,84,495.9
E12000009,South West,71.3,52,72,72,71,68,64,77,430.8
E92000001,England,71.5,57,73,72,73,71,70,79,462.8
E09000001,City of London,76.5,100,84,84,0,73,0,0,898
E09000002,Barking and Dagenham,71.6,67,72,70,76,73,75,69,461.0
E09000003,Barnet,73.3,62,79,76,76,73,70,84,522.6
E09000004,Bexley,77.2,65,79,78,77,79,78,74,513.0
E09000005,Brent,69.8,58,77,70,76,75,69,69,471.0
E09000006,Bromley,77.4,61,79,79,78,82,70,82,608.0
E09000007,Camden,66.4,54,69,69,70,64,66,75,614.3
E09000008,Croydon,73.4,63,76,74,74,75,74,78,538.5
E09000009,Ealing,71.5,62,77,73,77,74,66,73,517.2
E09000010,Enfield,68.0,62,75,67,77,73,67,75,479.8
E09000011,Greenwich,77.5,69,79,77,83,81,78,82,553.0
E09000012,Hackney,71.2,68,80,79,76,79,74,83,558.1
E09000013,Hammersmith and Fulham,73.9,67,74,78,77,77,69,0,651.1
E09000014,Haringey,74.4,69,80,75,78,77,75,78,525.3
E09000015,Harrow,73.1,62,78,68,72,80,67,0,543.4
E09000016,Havering,71.7,57,73,72,70,77,68,85,534.2
E09000017,Hillingdon,72.6,59,74,71,73,77,73,0,500.4
E09000018,Hounslow,71.0,60,73,70,78,76,62,0,517.0
E09000019,Islington,69.9,61,74,73,68,65,68,0,646.1
E09000020,Kensington and Chelsea,70.1,59,72,75,73,63,61,0,784.4
E09000021,Kingston upon Thames,75.9,65,79,77,84,73,66,79,579.9
E09000022,Lambeth,70.7,59,74,76,75,70,66,85,594.6
E09000023,Lewisham,78.9,71,82,83,81,78,76,84,535.2
E09000024,Merton,73.9,64,77,74,77,75,69,75,573.0
E09000025,Newham,75.1,70,79,72,80,77,76,0,471.3
E09000026,Redbridge,73.1,66,77,72,77,76,67,71,546.8
E09000027,Richmond upon Thames,78.4,61,80,79,80,79,64,87,665.9
E09000028,Southwark,73.4,67,75,76,74,68,73,83,587.1
E09000029,Sutton,70.3,54,72,70,72,72,67,84,515.2
E09000030,Tower Hamlets,68.4,61,71,69,75,69,68,78,592.0
E09000031,Waltham Forest,73.9,67,79,75,77,75,72,72,499.4
E09000032,Wandsworth,75.0,64,78,81,71,70,69,78,681.2
E09000033,Westminster,70.7,65,75,74,83,74,68,71,730.8
E12000001,North East,70.7,58,72,71,69,65,66,72,416.1
E12000002,North West,67.9,53,70,69,70,64,63,68,421.6
E12000003,Yorkshire and the Humber,68.8,53,71,70,69,65,65,68,410.9
E12000003,East Midlands,68.8,52,71,69,70,69,68,70,421.6
E12000005,West Midlands,68.6,56,71,70,68,66,67,70,426.5
E12000006,East,71.3,55,73,72,73,68,70,77,465.7
E12000007,London,73.0,64,77,74,76,75,71,80,558.1
E12000008,South East,74.0,56,76,75,76,72,72,79,484.8
E12000009,South West,70.5,53,72,71,70,66,65,68,419.3
E92000001,England,70.7,56,73,72,73,69,70,74,451.0
